type,twitter_name,high,low,other
universities,UniversiteCergy,,,1
universities,UnivTours,,,1
universities,AgroParisTech,,,1
universities,UCAuvergne,,,1
universities,EcoledesPonts,,,1
universities,UnivPoitiers,,,1
universities,univamu,,,1
universities,Sorbonne_Univ_,1,,
universities,univbourgogne,,,1
universities,universitereims,,,1
universities,UGrenobleAlpes,,,1
universities,univ_spn,,,1
universities,UPJV_Univ,,,1
universities,Ecole_navale,,,1
universities,Univ_Orleans,,,1
universities,UGustaveEiffel,,,1
universities,univrouen,,,1
universities,ENSAEparis,,,1
universities,UnilimDSI,,,1
