,PCS_ESE,label,Effectifs en EQTP,Salaire moyen en EQTP
378,233b,"Chefs d'entreprise de l'industrie ou des transports, de 10 à 49 salariés",14780,4400
385,373b,Cadres des autres services administratifs des grandes entreprises,115090,4500
386,353a,"Directeurs de journaux, administrateurs de presse, directeurs d'éditions (littéraire, musicale, audiovisuelle et multimédia)",3770,4600
387,383c,Ingénieurs et cadres technico-commerciaux en matériel électrique ou électronique professionnel,15670,4600
390,385b,"Ingénieurs et cadres de fabrication des industries de transformation (agroalimentaire, chimie, métallurgie, matériaux lourds)",32730,4700
388,385c,Ingénieurs et cadres technico-commerciaux des industries de transformations (biens intermédiaires),22520,4700
389,372b,Cadres de l'organisation ou du contrôle des services administratifs et financiers,135550,4700
391,389c,Officiers et cadres navigants techniques de la marine marchande,4450,4800
392,388d,Ingénieurs et cadres technico-commerciaux en informatique et télécommunications,33990,4900
393,376b,Cadres des opérations bancaires,24860,4900
394,373a,Cadres des services financiers ou comptables des grandes entreprises,42910,5000
395,374d,Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail),186680,5000
396,376d,Chefs d'établissements et responsables de l'exploitation bancaire,34110,5100
397,372a,"Cadres chargés d'études économiques, financières, commerciales",100080,5100
398,233d,"Chefs d'entreprise de services, de 10 à 49 salariés",60640,5100
399,386d,"Ingénieurs et cadres de la production et de la distribution d'énergie, eau",24590,5200
400,374c,Cadres commerciaux des grandes entreprises (hors commerce de détail),79120,5300
64,344a,Médecins hospitaliers sans activité libérale,85910,6000
401,344b,Médecins salariés non hospitaliers,15680,6100
65,331a,"Personnels de direction de la fonction publique (Etat, collectivités locales, hôpitaux)",15050,6500
402,311c,Chirurgiens dentistes,5790,7000
403,312a,Avocats,3520,8000
404,380a,Directeurs techniques des grandes entreprises,19970,8000
405,389b,Officiers et cadres navigants techniques et commerciaux de l'aviation civile,6900,9300
406,376a,Cadres des marchés financiers,15360,9300
407,232a,"Chefs de moyenne entreprise, de 50 à 499 salariés",17700,9700
408,371a,"Cadres d'état-major administratifs, financiers, commerciaux des grandes entreprises",35550,10100
409,231a,Chefs de grande entreprise de 500 salariés et plus,5200,15100
